"Volume","File","Status","SizeMB","Url"
"00_All_PDFs_Unsorted_Page_Changed","39 - Chapter 20 ( Detectors).pdf","OK","0,33","https://www.sartsma.co.za/_files/ugd/04fece_6f591ac94d6a4b78980d1124cb532d77.pdf"
"00_All_PDFs_Unsorted_Page_Changed","40 - Chapter 21 ( Automated Law Enforcement).pdf","OK","0,25","https://www.sartsma.co.za/_files/ugd/04fece_9c5af0b75ea94a0b8abda56e48eeacee.pdf"
"00_All_PDFs_Unsorted_Page_Changed","41 - Chapter 22 ( Power Supply).pdf","OK","0,4","https://www.sartsma.co.za/_files/ugd/04fece_d2846c2c61e5483d8b4e373a843ee4ce.pdf"
"00_All_PDFs_Unsorted_Page_Changed","42 - Chapter 23 ( Responsibilities and Duties).pdf","OK","0,32","https://www.sartsma.co.za/_files/ugd/04fece_db0fd2eb93b847c4b4872488a95679fc.pdf"
"00_All_PDFs_Unsorted_Page_Changed","43 - Chapter 24 ( Risk Management).pdf","OK","0,27","https://www.sartsma.co.za/_files/ugd/04fece_eaf0b087e4ce44d697a029fd4e54d32b.pdf"
"00_All_PDFs_Unsorted_Page_Changed","44 - Chapter 25 ( Manpower Requirements).pdf","OK","0,29","https://www.sartsma.co.za/_files/ugd/04fece_5d2d212b9ef244c1a467ad77a08b4c26.pdf"
"00_All_PDFs_Unsorted_Page_Changed","45 - Chapter 26 ( Traffic Signal Installation).pdf","OK","0,27","https://www.sartsma.co.za/_files/ugd/04fece_c7d22f5db08647f48ece5b78b225dd01.pdf"
"00_All_PDFs_Unsorted_Page_Changed","46 - Chapter 27 ( Removal of Traffic Signals).pdf","OK","0,18","https://www.sartsma.co.za/_files/ugd/04fece_46b1bd7789fb41a49e88674ec61eed24.pdf"
"00_All_PDFs_Unsorted_Page_Changed","47 - Chapter 28 ( Traffic Signal Maintenance).pdf","OK","0,3","https://www.sartsma.co.za/_files/ugd/04fece_5c8a046e5b8b4a1cb74fe163236624cf.pdf"
"00_All_PDFs_Unsorted_Page_Changed","48 - Chapter 29 ( Signal Timing Upgrading).pdf","OK","0,27","https://www.sartsma.co.za/_files/ugd/04fece_93237150b5a94d8d8108f7101e931a01.pdf"
"00_All_PDFs_Unsorted_Page_Changed","49 - Chapter 30 (Traffic Signal Records).pdf","OK","0,25","https://www.sartsma.co.za/_files/ugd/04fece_460d9c2f3b7a4475b375fe95417ad249.pdf"
"00_All_PDFs_Unsorted_Page_Changed","50 - Chapter 31 (Contracts).pdf","OK","0,2","https://www.sartsma.co.za/_files/ugd/04fece_95c840bbdab749299c5e80f1354e5a98.pdf"
"00_All_PDFs_Unsorted_Page_Changed","51 - Chapter 32 (Annual Reports).pdf","OK","0,19","https://www.sartsma.co.za/_files/ugd/04fece_ffd0fc7d1d7b4cbc94d0fb527ed1ba25.pdf"
"00_All_PDFs_Unsorted_Page_Changed","52 - Appendix A, B and C.pdf","OK","0,61","https://www.sartsma.co.za/_files/ugd/04fece_c5194be6b4994c7eb024979712164457.pdf"
"00_All_PDFs_Unsorted_Page_Changed","53 - Chapter 1 (Introduction).pdf","OK","0,8","https://www.sartsma.co.za/_files/ugd/4f7773_91cd3a992ce74b5ab9535322b786fb8b.pdf"
"00_All_PDFs_Unsorted_Page_Changed","54 - Chapter 2 (Regulatory Signs) and Chapter 3 (Warning Signs).pdf","OK","70,86","https://www.sartsma.co.za/_files/ugd/4f7773_a174a3250f9c4bab863cda2650a6db57.pdf"
"00_All_PDFs_Unsorted_Page_Changed","55 - Chapter 4 (Guidance Signs - 1 Location Signs and Route Marker Signs), Chapter 5 (Guidance Signs - 2 Direc.pdf","OK","91,36","https://www.sartsma.co.za/_files/ugd/4f7773_5fcf8572b16f4cb4baf564864a784373.pdf"
"00_All_PDFs_Unsorted_Page_Changed","56 - Chapter 9 (Information Signs).pdf","OK","10,28","https://www.sartsma.co.za/_files/ugd/4f7773_e148ec454ae64194b5b34b8f7301a7fa.pdf"
"00_All_PDFs_Unsorted_Page_Changed","57 - Chapter 10 (Traffic Signals).pdf","OK","0,46","https://www.sartsma.co.za/_files/ugd/4f7773_93d7cf9b50264fcb8edeee08bc197a84.pdf"
"00_All_PDFs_Unsorted_Page_Changed","58 - Chapter 11 (Lettering for Road Traffic Signs).pdf","OK","13,64","https://www.sartsma.co.za/_files/ugd/4f7773_0aff67782b64451e81d541204b0c440f.pdf"
"00_All_PDFs_Unsorted_Page_Changed","59 - Chapter 12 (Road Markings).pdf","OK","2,68","https://www.sartsma.co.za/_files/ugd/4f7773_31778787fa994114bd4100de385f084f.pdf"
"00_All_PDFs_Unsorted_Page_Changed","60 - Chapter 13 (Guidance Signs - 6 Local Directions Signs), Chapter 14 (Guidance Signs - 7 Pedestrian Directi.pdf","OK","33,25","https://www.sartsma.co.za/_files/ugd/4f7773_526336c5d68c4feaa85c47133ae80895.pdf"
"00_All_PDFs_Unsorted_Page_Changed","61 - Terms and Conditions.pdf","OK","0,09","https://www.sartsma.co.za/_files/ugd/4f7773_0b28027cc8724758bc0eab01235d347a.pdf"
